Capital,City Name,Region,Subregion
Kabul,Afghanistan,Asia,Southern Asia
Mariehamn,Åland Islands,Europe,Northern Europe
Tirana,Albania,Europe,Southern Europe
Algiers,Algeria,Africa,Northern Africa
Pago Pago,American Samoa,Oceania,Polynesia
Andorra la Vella,Andorra,Europe,Southern Europe
Luanda,Angola,Africa,Middle Africa
The Valley,Anguilla,Americas,Caribbean
,Antarctica,Polar,
Saint John's,Antigua and Barbuda,Americas,Caribbean
Buenos Aires,Argentina,Americas,South America
Yerevan,Armenia,Asia,Western Asia
Oranjestad,Aruba,Americas,Caribbean
Canberra,Australia,Oceania,Australia and New Zealand
Vienna,Austria,Europe,Western Europe
Baku,Azerbaijan,Asia,Western Asia
Nassau,Bahamas,Americas,Caribbean
Manama,Bahrain,Asia,Western Asia
Dhaka,Bangladesh,Asia,Southern Asia
Bridgetown,Barbados,Americas,Caribbean
Minsk,Belarus,Europe,Eastern Europe
Brussels,Belgium,Europe,Western Europe
Belmopan,Belize,Americas,Central America
Porto-Novo,Benin,Africa,Western Africa
Hamilton,Bermuda,Americas,Northern America
Thimphu,Bhutan,Asia,Southern Asia
Sucre,Bolivia (Plurinational State of),Americas,South America
Kralendijk,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean
Sarajevo,Bosnia and Herzegovina,Europe,Southern Europe
Gaborone,Botswana,Africa,Southern Africa
,Bouvet Island,,
Brasília,Brazil,Americas,South America
Diego Garcia,British Indian Ocean Territory,Africa,Eastern Africa
,United States Minor Outlying Islands,Americas,Northern America
Road Town,Virgin Islands (British),Americas,Caribbean
Charlotte Amalie,Virgin Islands (U.S.),Americas,Caribbean
Bandar Seri Begawan,Brunei Darussalam,Asia,South-Eastern Asia
Sofia,Bulgaria,Europe,Eastern Europe
Ouagadougou,Burkina Faso,Africa,Western Africa
Bujumbura,Burundi,Africa,Eastern Africa
Phnom Penh,Cambodia,Asia,South-Eastern Asia
Yaoundé,Cameroon,Africa,Middle Africa
Ottawa,Canada,Americas,Northern America
Praia,Cabo Verde,Africa,Western Africa
George Town,Cayman Islands,Americas,Caribbean
Bangui,Central African Republic,Africa,Middle Africa
N'Djamena,Chad,Africa,Middle Africa
Santiago,Chile,Americas,South America
Beijing,China,Asia,Eastern Asia
Flying Fish Cove,Christmas Island,Oceania,Australia and New Zealand
West Island,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
Bogotá,Colombia,Americas,South America
Moroni,Comoros,Africa,Eastern Africa
Brazzaville,Congo,Africa,Middle Africa
Kinshasa,Congo (Democratic Republic of the),Africa,Middle Africa
Avarua,Cook Islands,Oceania,Polynesia
San José,Costa Rica,Americas,Central America
Zagreb,Croatia,Europe,Southern Europe
Havana,Cuba,Americas,Caribbean
Willemstad,Curaçao,Americas,Caribbean
Nicosia,Cyprus,Europe,Southern Europe
Prague,Czech Republic,Europe,Eastern Europe
Copenhagen,Denmark,Europe,Northern Europe
Djibouti,Djibouti,Africa,Eastern Africa
Roseau,Dominica,Americas,Caribbean
Santo Domingo,Dominican Republic,Americas,Caribbean
Quito,Ecuador,Americas,South America
Cairo,Egypt,Africa,Northern Africa
San Salvador,El Salvador,Americas,Central America
Malabo,Equatorial Guinea,Africa,Middle Africa
Asmara,Eritrea,Africa,Eastern Africa
Tallinn,Estonia,Europe,Northern Europe
Addis Ababa,Ethiopia,Africa,Eastern Africa
Stanley,Falkland Islands (Malvinas),Americas,South America
Tórshavn,Faroe Islands,Europe,Northern Europe
Suva,Fiji,Oceania,Melanesia
Helsinki,Finland,Europe,Northern Europe
Paris,France,Europe,Western Europe
Cayenne,French Guiana,Americas,South America
