N_City,Capital,Region,SubRegion,population
Afghanistan,Kabul,Asia,Southern Asia,27657145
Åland Islands,Mariehamn,Europe,Northern Europe,28875
Albania,Tirana,Europe,Southern Europe,2886026
Algeria,Algiers,Africa,Northern Africa,40400000
American Samoa,Pago Pago,Oceania,Polynesia,57100
Andorra,Andorra la Vella,Europe,Southern Europe,78014
Angola,Luanda,Africa,Middle Africa,25868000
Anguilla,The Valley,Americas,Caribbean,13452
Antarctica,,Polar,,1000
Antigua and Barbuda,Saint John's,Americas,Caribbean,86295
Argentina,Buenos Aires,Americas,South America,43590400
Armenia,Yerevan,Asia,Western Asia,2994400
Aruba,Oranjestad,Americas,Caribbean,107394
Australia,Canberra,Oceania,Australia and New Zealand,24117360
Austria,Vienna,Europe,Western Europe,8725931
Azerbaijan,Baku,Asia,Western Asia,9730500
Bahamas,Nassau,Americas,Caribbean,378040
Bahrain,Manama,Asia,Western Asia,1404900
Bangladesh,Dhaka,Asia,Southern Asia,161006790
Barbados,Bridgetown,Americas,Caribbean,285000
Belarus,Minsk,Europe,Eastern Europe,9498700
Belgium,Brussels,Europe,Western Europe,11319511
Belize,Belmopan,Americas,Central America,370300
Benin,Porto-Novo,Africa,Western Africa,10653654
Bermuda,Hamilton,Americas,Northern America,61954
Bhutan,Thimphu,Asia,Southern Asia,775620
Bolivia (Plurinational State of),Sucre,Americas,South America,10985059
"Bonaire, Sint Eustatius and Saba",Kralendijk,Americas,Caribbean,17408
Bosnia and Herzegovina,Sarajevo,Europe,Southern Europe,3531159
Botswana,Gaborone,Africa,Southern Africa,2141206
Bouvet Island,,,,0
Brazil,Brasília,Americas,South America,206135893
British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,3000
United States Minor Outlying Islands,,Americas,Northern America,300
Virgin Islands (British),Road Town,Americas,Caribbean,28514
Virgin Islands (U.S.),Charlotte Amalie,Americas,Caribbean,114743
Brunei Darussalam,Bandar Seri Begawan,Asia,South-Eastern Asia,411900
Bulgaria,Sofia,Europe,Eastern Europe,7153784
Burkina Faso,Ouagadougou,Africa,Western Africa,19034397
Burundi,Bujumbura,Africa,Eastern Africa,10114505
Cambodia,Phnom Penh,Asia,South-Eastern Asia,15626444
Cameroon,Yaoundé,Africa,Middle Africa,22709892
Canada,Ottawa,Americas,Northern America,36155487
Cabo Verde,Praia,Africa,Western Africa,531239
Cayman Islands,George Town,Americas,Caribbean,58238
Central African Republic,Bangui,Africa,Middle Africa,4998000
Chad,N'Djamena,Africa,Middle Africa,14497000
Chile,Santiago,Americas,South America,18191900
China,Beijing,Asia,Eastern Asia,1377422166
Christmas Island,Flying Fish Cove,Oceania,Australia and New Zealand,2072
Cocos (Keeling) Islands,West Island,Oceania,Australia and New Zealand,550
Colombia,Bogotá,Americas,South America,48759958
Comoros,Moroni,Africa,Eastern Africa,806153
Congo,Brazzaville,Africa,Middle Africa,4741000
Congo (Democratic Republic of the),Kinshasa,Africa,Middle Africa,85026000
Cook Islands,Avarua,Oceania,Polynesia,18100
Costa Rica,San José,Americas,Central America,4890379
Croatia,Zagreb,Europe,Southern Europe,4190669
Cuba,Havana,Americas,Caribbean,11239004
Curaçao,Willemstad,Americas,Caribbean,154843
Cyprus,Nicosia,Europe,Southern Europe,847000
Czech Republic,Prague,Europe,Eastern Europe,10558524
Denmark,Copenhagen,Europe,Northern Europe,5717014
Djibouti,Djibouti,Africa,Eastern Africa,900000
Dominica,Roseau,Americas,Caribbean,71293
Dominican Republic,Santo Domingo,Americas,Caribbean,10075045
Ecuador,Quito,Americas,South America,16545799
Egypt,Cairo,Africa,Northern Africa,91290000
El Salvador,San Salvador,Americas,Central America,6520675
Equatorial Guinea,Malabo,Africa,Middle Africa,1222442
Eritrea,Asmara,Africa,Eastern Africa,5352000
Estonia,Tallinn,Europe,Northern Europe,1315944
Ethiopia,Addis Ababa,Africa,Eastern Africa,92206005
Falkland Islands (Malvinas),Stanley,Americas,South America,2563
Faroe Islands,Tórshavn,Europe,Northern Europe,49376
Fiji,Suva,Oceania,Melanesia,867000
Finland,Helsinki,Europe,Northern Europe,5491817
France,Paris,Europe,Western Europe,66710000
French Guiana,Cayenne,Americas,South America,254541
