N_City,Capital,Region,SubRegion,Time_Zone
Afghanistan,Kabul,Asia,Southern Asia,['UTC+04:30']
Åland Islands,Mariehamn,Europe,Northern Europe,['UTC+02:00']
Albania,Tirana,Europe,Southern Europe,['UTC+01:00']
Algeria,Algiers,Africa,Northern Africa,['UTC+01:00']
American Samoa,Pago Pago,Oceania,Polynesia,['UTC-11:00']
Andorra,Andorra la Vella,Europe,Southern Europe,['UTC+01:00']
Angola,Luanda,Africa,Middle Africa,['UTC+01:00']
Anguilla,The Valley,Americas,Caribbean,['UTC-04:00']
Antarctica,,Polar,,"['UTC-03:00', 'UTC+03:00', 'UTC+05:00', 'UTC+06:00', 'UTC+07:00', 'UTC+08:00', 'UTC+10:00', 'UTC+12:00']"
Antigua and Barbuda,Saint John's,Americas,Caribbean,['UTC-04:00']
Argentina,Buenos Aires,Americas,South America,['UTC-03:00']
Armenia,Yerevan,Asia,Western Asia,['UTC+04:00']
Aruba,Oranjestad,Americas,Caribbean,['UTC-04:00']
Australia,Canberra,Oceania,Australia and New Zealand,"['UTC+05:00', 'UTC+06:30', 'UTC+07:00', 'UTC+08:00', 'UTC+09:30', 'UTC+10:00', 'UTC+10:30', 'UTC+11:30']"
Austria,Vienna,Europe,Western Europe,['UTC+01:00']
Azerbaijan,Baku,Asia,Western Asia,['UTC+04:00']
Bahamas,Nassau,Americas,Caribbean,['UTC-05:00']
Bahrain,Manama,Asia,Western Asia,['UTC+03:00']
Bangladesh,Dhaka,Asia,Southern Asia,['UTC+06:00']
Barbados,Bridgetown,Americas,Caribbean,['UTC-04:00']
Belarus,Minsk,Europe,Eastern Europe,['UTC+03:00']
Belgium,Brussels,Europe,Western Europe,['UTC+01:00']
Belize,Belmopan,Americas,Central America,['UTC-06:00']
Benin,Porto-Novo,Africa,Western Africa,['UTC+01:00']
Bermuda,Hamilton,Americas,Northern America,['UTC-04:00']
Bhutan,Thimphu,Asia,Southern Asia,['UTC+06:00']
Bolivia (Plurinational State of),Sucre,Americas,South America,['UTC-04:00']
"Bonaire, Sint Eustatius and Saba",Kralendijk,Americas,Caribbean,['UTC-04:00']
Bosnia and Herzegovina,Sarajevo,Europe,Southern Europe,['UTC+01:00']
Botswana,Gaborone,Africa,Southern Africa,['UTC+02:00']
Bouvet Island,,,,['UTC+01:00']
Brazil,Brasília,Americas,South America,"['UTC-05:00', 'UTC-04:00', 'UTC-03:00', 'UTC-02:00']"
British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,['UTC+06:00']
